numTypes 3
population 1200
min distances 32.000000, radiuses 141.000000, forces -0.999916
Particle 124, at 75.000000, 223.000000
Particle 125, at 173.000000, 455.000000
Particle 126, at 321.000000, 69.000000
Particle 127, at 2.000000, 533.000000
Particle 128, at 219.000000, 720.000000
Particle 129, at 789.000000, 86.000000
Particle 130, at 727.000000, 753.000000
Particle 131, at 487.000000, 253.000000
Particle 132, at 306.000000, 537.000000
Particle 133, at 659.000000, 121.000000
Particle 134, at 430.000000, 73.000000
Particle 135, at 105.000000, 190.000000
Particle 136, at 566.000000, 791.000000
Particle 137, at 665.000000, 795.000000
Particle 138, at 134.000000, 913.000000
Particle 139, at 770.000000, 420.000000
Particle 140, at 274.000000, 512.000000
Particle 141, at 1.000000, 156.000000
Particle 142, at 63.000000, 83.000000
Particle 143, at 99.000000, 646.000000
Particle 144, at 589.000000, 531.000000
Particle 145, at 273.000000, 274.000000
Particle 146, at 4.000000, 805.000000
Particle 147, at 455.000000, 292.000000
Particle 148, at 342.000000, 698.000000
Particle 149, at 643.000000, 787.000000
Particle 150, at 335.000000, 85.000000
Particle 151, at 475.000000, 804.000000
Particle 152, at 345.000000, 197.000000
Particle 153, at 652.000000, 292.000000
Particle 154, at 712.000000, 195.000000
Particle 155, at 210.000000, 893.000000
Particle 156, at 521.000000, 892.000000
Particle 157, at 281.000000, 262.000000
Particle 158, at 451.000000, 301.000000
Particle 159, at 730.000000, 45.000000
Particle 160, at 245.000000, 853.000000
Particle 161, at 789.000000, 555.000000
Particle 162, at 55.000000, 204.000000
Particle 163, at 395.000000, 882.000000
Particle 164, at 755.000000, 296.000000
Particle 165, at 265.000000, 263.000000
Particle 166, at 502.000000, 999.000000
Particle 167, at 276.000000, 760.000000
Particle 168, at 366.000000, 333.000000
Particle 169, at 251.000000, 761.000000
Particle 170, at 347.000000, 899.000000
Particle 171, at 91.000000, 701.000000
Particle 172, at 448.000000, 227.000000
Particle 173, at 90.000000, 410.000000
Particle 174, at 457.000000, 496.000000
Particle 175, at 769.000000, 571.000000
Particle 176, at 592.000000, 767.000000
Particle 177, at 391.000000, 51.000000
Particle 178, at 706.000000, 977.000000
Particle 179, at 692.000000, 601.000000
Particle 180, at 497.000000, 276.000000
Particle 181, at 314.000000, 90.000000
Particle 182, at 712.000000, 198.000000
Particle 183, at 247.000000, 763.000000
Particle 184, at 422.000000, 53.000000
Particle 185, at 678.000000, 857.000000
Particle 186, at 12.000000, 27.000000
Particle 187, at 453.000000, 72.000000
Particle 188, at 136.000000, 678.000000
Particle 189, at 343.000000, 603.000000
Particle 190, at 459.000000, 710.000000
Particle 191, at 206.000000, 141.000000
Particle 192, at 261.000000, 764.000000
Particle 193, at 120.000000, 617.000000
Particle 194, at 300.000000, 743.000000
Particle 195, at 214.000000, 181.000000
Particle 196, at 258.000000, 219.000000
Particle 197, at 378.000000, 635.000000
Particle 198, at 381.000000, 862.000000
Particle 199, at 789.000000, 618.000000
Particle 200, at 701.000000, 700.000000
Particle 201, at 377.000000, 651.000000
Particle 202, at 252.000000, 842.000000
Particle 203, at 405.000000, 792.000000
Particle 204, at 281.000000, 320.000000
Particle 205, at 629.000000, 451.000000
Particle 206, at 754.000000, 434.000000
Particle 207, at 287.000000, 856.000000
Particle 208, at 185.000000, 897.000000
Particle 209, at 355.000000, 512.000000
Particle 210, at 109.000000, 929.000000
Particle 211, at 3.000000, 68.000000
Particle 212, at 580.000000, 204.000000
Particle 213, at 294.000000, 285.000000
Particle 214, at 476.000000, 708.000000
Particle 215, at 215.000000, 778.000000
Particle 216, at 368.000000, 456.000000
Particle 217, at 719.000000, 930.000000
Particle 218, at 425.000000, 714.000000
Particle 219, at 366.000000, 998.000000
Particle 220, at 477.000000, 313.000000
Particle 221, at 219.000000, 36.000000
Particle 222, at 228.000000, 890.000000
Particle 223, at 204.000000, 723.000000
Particle 224, at 393.000000, 984.000000
Particle 225, at 9.000000, 563.000000
Particle 226, at 313.000000, 617.000000
Particle 227, at 538.000000, 190.000000
Particle 228, at 154.000000, 79.000000
Particle 229, at 38.000000, 416.000000
Particle 230, at 526.000000, 192.000000
Particle 231, at 454.000000, 188.000000
Particle 232, at 301.000000, 199.000000
Particle 233, at 338.000000, 177.000000
Particle 234, at 120.000000, 821.000000
Particle 235, at 16.000000, 22.000000
Particle 236, at 780.000000, 945.000000
Particle 237, at 587.000000, 588.000000
Particle 238, at 638.000000, 292.000000
Particle 239, at 149.000000, 95.000000
Particle 240, at 513.000000, 392.000000
Particle 241, at 682.000000, 247.000000
Particle 242, at 741.000000, 463.000000
Particle 243, at 741.000000, 403.000000
Particle 244, at 772.000000, 795.000000
Particle 245, at 586.000000, 350.000000
Particle 246, at 486.000000, 614.000000
Particle 247, at 641.000000, 174.000000
Particle 248, at 408.000000, 427.000000
Particle 249, at 531.000000, 711.000000
Particle 250, at 484.000000, 720.000000
Particle 251, at 674.000000, 915.000000
Particle 252, at 677.000000, 900.000000
Particle 253, at 581.000000, 430.000000
Particle 254, at 671.000000, 860.000000
Particle 255, at 93.000000, 641.000000
Particle 256, at 163.000000, 929.000000
Particle 257, at 199.000000, 657.000000
Particle 258, at 23.000000, 193.000000
Particle 259, at 670.000000, 315.000000
Particle 260, at 19.000000, 664.000000
Particle 261, at 28.000000, 50.000000
Particle 262, at 318.000000, 857.000000
Particle 263, at 479.000000, 185.000000
Particle 264, at 351.000000, 419.000000
Particle 265, at 134.000000, 264.000000
Particle 266, at 497.000000, 626.000000
Particle 267, at 321.000000, 269.000000
Particle 268, at 597.000000, 821.000000
Particle 269, at 626.000000, 576.000000
Particle 270, at 110.000000, 448.000000
Particle 271, at 532.000000, 491.000000
Particle 272, at 760.000000, 617.000000
Particle 273, at 200.000000, 47.000000
Particle 274, at 120.000000, 327.000000
Particle 275, at 585.000000, 489.000000
Particle 276, at 782.000000, 471.000000
Particle 277, at 458.000000, 202.000000
Particle 278, at 579.000000, 290.000000
Particle 279, at 669.000000, 643.000000
Particle 280, at 228.000000, 649.000000
Particle 281, at 331.000000, 638.000000
Particle 282, at 720.000000, 2.000000
Particle 283, at 14.000000, 500.000000
Particle 284, at 731.000000, 865.000000
Particle 285, at 155.000000, 822.000000
Particle 286, at 147.000000, 256.000000
Particle 287, at 780.000000, 746.000000
Particle 288, at 465.000000, 692.000000
Particle 289, at 709.000000, 590.000000
Particle 290, at 40.000000, 683.000000
Particle 291, at 277.000000, 400.000000
Particle 292, at 507.000000, 206.000000
Particle 293, at 153.000000, 809.000000
Particle 294, at 342.000000, 935.000000
Particle 295, at 375.000000, 727.000000
Particle 296, at 313.000000, 674.000000
Particle 297, at 573.000000, 44.000000
Particle 298, at 221.000000, 525.000000
Particle 299, at 655.000000, 323.000000
Particle 300, at 799.000000, 640.000000
Particle 301, at 570.000000, 603.000000
Particle 302, at 239.000000, 617.000000
Particle 303, at 14.000000, 900.000000
Particle 304, at 265.000000, 271.000000
Particle 305, at 627.000000, 544.000000
Particle 306, at 541.000000, 144.000000
Particle 307, at 70.000000, 863.000000
Particle 308, at 110.000000, 718.000000
Particle 309, at 780.000000, 108.000000
Particle 310, at 483.000000, 602.000000
Particle 311, at 564.000000, 905.000000
Particle 312, at 207.000000, 950.000000
Particle 313, at 491.000000, 967.000000
Particle 314, at 159.000000, 204.000000
Particle 315, at 99.000000, 249.000000
Particle 316, at 644.000000, 213.000000
Particle 317, at 251.000000, 950.000000
Particle 318, at 218.000000, 651.000000
Particle 319, at 563.000000, 57.000000
Particle 320, at 554.000000, 398.000000
Particle 321, at 568.000000, 435.000000
Particle 322, at 518.000000, 843.000000
Particle 323, at 80.000000, 38.000000
Particle 324, at 189.000000, 981.000000
Particle 325, at 388.000000, 213.000000
Particle 326, at 271.000000, 454.000000
Particle 327, at 484.000000, 918.000000
Particle 328, at 581.000000, 584.000000
Particle 329, at 99.000000, 651.000000
Particle 330, at 110.000000, 901.000000
Particle 331, at 334.000000, 893.000000
Particle 332, at 412.000000, 480.000000
Particle 333, at 507.000000, 417.000000
Particle 334, at 289.000000, 564.000000
Particle 335, at 459.000000, 362.000000
Particle 336, at 618.000000, 86.000000
Particle 337, at 630.000000, 98.000000
Particle 338, at 757.000000, 426.000000
Particle 339, at 302.000000, 502.000000
Particle 340, at 605.000000, 895.000000
Particle 341, at 483.000000, 848.000000
Particle 342, at 797.000000, 747.000000
Particle 343, at 717.000000, 916.000000
Particle 344, at 678.000000, 86.000000
Particle 345, at 79.000000, 490.000000
Particle 346, at 497.000000, 179.000000
Particle 347, at 1.000000, 742.000000
Particle 348, at 733.000000, 195.000000
Particle 349, at 157.000000, 747.000000
Particle 350, at 451.000000, 491.000000
Particle 351, at 178.000000, 569.000000
Particle 352, at 86.000000, 193.000000
Particle 353, at 451.000000, 758.000000
Particle 354, at 288.000000, 576.000000
Particle 355, at 260.000000, 319.000000
Particle 356, at 460.000000, 676.000000
Particle 357, at 489.000000, 508.000000
Particle 358, at 738.000000, 134.000000
Particle 359, at 144.000000, 230.000000
Particle 360, at 608.000000, 473.000000
Particle 361, at 529.000000, 769.000000
Particle 362, at 595.000000, 203.000000
Particle 363, at 33.000000, 978.000000
Particle 364, at 326.000000, 824.000000
Particle 365, at 775.000000, 260.000000
Particle 366, at 300.000000, 278.000000
Particle 367, at 303.000000, 178.000000
Particle 368, at 711.000000, 977.000000
Particle 369, at 131.000000, 323.000000
Particle 370, at 329.000000, 147.000000
Particle 371, at 454.000000, 895.000000
Particle 372, at 317.000000, 505.000000
Particle 373, at 716.000000, 198.000000
Particle 374, at 176.000000, 254.000000
Particle 375, at 50.000000, 334.000000
Particle 376, at 469.000000, 171.000000
Particle 377, at 39.000000, 512.000000
Particle 378, at 266.000000, 261.000000
Particle 379, at 772.000000, 108.000000
Particle 380, at 260.000000, 369.000000
Particle 381, at 79.000000, 300.000000
Particle 382, at 377.000000, 248.000000
Particle 383, at 715.000000, 730.000000
Particle 384, at 21.000000, 639.000000
Particle 385, at 45.000000, 222.000000
Particle 386, at 660.000000, 311.000000
Particle 387, at 447.000000, 769.000000
Particle 388, at 409.000000, 845.000000
Particle 389, at 52.000000, 114.000000
Particle 390, at 171.000000, 685.000000
Particle 391, at 242.000000, 34.000000
Particle 392, at 608.000000, 579.000000
Particle 393, at 449.000000, 465.000000
Particle 394, at 313.000000, 161.000000
Particle 395, at 37.000000, 59.000000
Particle 396, at 418.000000, 212.000000
Particle 397, at 239.000000, 144.000000
Particle 398, at 163.000000, 349.000000
Particle 399, at 626.000000, 300.000000
Particle 400, at 74.000000, 499.000000
Particle 401, at 283.000000, 794.000000
Particle 402, at 324.000000, 645.000000
Particle 403, at 222.000000, 855.000000
Particle 404, at 145.000000, 65.000000
Particle 405, at 337.000000, 360.000000
Particle 406, at 195.000000, 65.000000
Particle 407, at 213.000000, 18.000000
Particle 408, at 256.000000, 457.000000
Particle 409, at 613.000000, 926.000000
Particle 410, at 35.000000, 149.000000
Particle 411, at 243.000000, 487.000000
Particle 412, at 134.000000, 649.000000
Particle 413, at 534.000000, 58.000000
Particle 414, at 647.000000, 34.000000
Particle 415, at 51.000000, 785.000000
Particle 416, at 86.000000, 206.000000
Particle 417, at 396.000000, 139.000000
Particle 418, at 625.000000, 910.000000
Particle 419, at 271.000000, 172.000000
Particle 420, at 113.000000, 648.000000
Particle 421, at 657.000000, 923.000000
Particle 422, at 437.000000, 228.000000
Particle 423, at 323.000000, 792.000000
Particle 424, at 181.000000, 463.000000
Particle 425, at 567.000000, 526.000000
Particle 426, at 695.000000, 429.000000
Particle 427, at 667.000000, 253.000000
Particle 428, at 152.000000, 898.000000
Particle 429, at 483.000000, 830.000000
Particle 430, at 599.000000, 869.000000
Particle 431, at 562.000000, 217.000000
Particle 432, at 719.000000, 921.000000
Particle 433, at 359.000000, 644.000000
Particle 434, at 23.000000, 594.000000
Particle 435, at 734.000000, 881.000000
Particle 436, at 794.000000, 822.000000
Particle 437, at 338.000000, 92.000000
Particle 438, at 529.000000, 935.000000
Particle 439, at 124.000000, 750.000000
Particle 440, at 509.000000, 355.000000
Particle 441, at 422.000000, 771.000000
Particle 442, at 501.000000, 341.000000
Particle 443, at 508.000000, 676.000000
Particle 444, at 553.000000, 207.000000
Particle 445, at 495.000000, 274.000000
Particle 446, at 344.000000, 215.000000
Particle 447, at 679.000000, 776.000000
Particle 448, at 569.000000, 798.000000
Particle 449, at 578.000000, 430.000000
Particle 450, at 692.000000, 816.000000
Particle 451, at 63.000000, 194.000000
Particle 452, at 676.000000, 159.000000
Particle 453, at 181.000000, 5.000000
Particle 454, at 44.000000, 188.000000
Particle 455, at 118.000000, 206.000000
Particle 456, at 649.000000, 662.000000
Particle 457, at 221.000000, 814.000000
Particle 458, at 365.000000, 49.000000
Particle 459, at 673.000000, 845.000000
Particle 460, at 686.000000, 445.000000
Particle 461, at 672.000000, 755.000000
Particle 462, at 13.000000, 0.000000
Particle 463, at 229.000000, 728.000000
Particle 464, at 98.000000, 17.000000
Particle 465, at 614.000000, 537.000000
Particle 466, at 590.000000, 777.000000
Particle 467, at 283.000000, 958.000000
Particle 468, at 154.000000, 239.000000
Particle 469, at 157.000000, 748.000000
Particle 470, at 750.000000, 958.000000
Particle 471, at 409.000000, 937.000000
Particle 472, at 272.000000, 604.000000
Particle 473, at 235.000000, 287.000000
Particle 474, at 493.000000, 292.000000
Particle 475, at 286.000000, 60.000000
Particle 476, at 262.000000, 412.000000
Particle 477, at 792.000000, 21.000000
Particle 478, at 92.000000, 846.000000
Particle 479, at 11.000000, 940.000000
Particle 480, at 277.000000, 179.000000
Particle 481, at 435.000000, 616.000000
Particle 482, at 692.000000, 655.000000
Particle 483, at 165.000000, 124.000000
Particle 484, at 417.000000, 707.000000
Particle 485, at 48.000000, 483.000000
Particle 486, at 351.000000, 71.000000
Particle 487, at 318.000000, 509.000000
Particle 488, at 785.000000, 322.000000
Particle 489, at 199.000000, 520.000000
Particle 490, at 779.000000, 28.000000
Particle 491, at 342.000000, 344.000000
Particle 492, at 390.000000, 830.000000
Particle 493, at 582.000000, 61.000000
Particle 494, at 167.000000, 203.000000
Particle 495, at 165.000000, 979.000000
Particle 496, at 529.000000, 555.000000
Particle 497, at 139.000000, 899.000000
Particle 498, at 205.000000, 762.000000
Particle 499, at 773.000000, 873.000000
Particle 500, at 701.000000, 990.000000
Particle 501, at 476.000000, 90.000000
Particle 502, at 163.000000, 706.000000
Particle 503, at 764.000000, 83.000000
Particle 504, at 666.000000, 687.000000
Particle 505, at 628.000000, 409.000000
Particle 506, at 93.000000, 40.000000
Particle 507, at 350.000000, 186.000000
Particle 508, at 84.000000, 936.000000
Particle 509, at 674.000000, 832.000000
Particle 510, at 538.000000, 666.000000
Particle 511, at 326.000000, 875.000000
Particle 512, at 630.000000, 160.000000
Particle 513, at 689.000000, 352.000000
Particle 514, at 425.000000, 164.000000
Particle 515, at 235.000000, 804.000000
Particle 516, at 155.000000, 563.000000
Particle 517, at 401.000000, 923.000000
Particle 518, at 233.000000, 754.000000
Particle 519, at 148.000000, 856.000000
Particle 520, at 185.000000, 498.000000
Particle 521, at 396.000000, 470.000000
Particle 522, at 624.000000, 453.000000
Particle 523, at 705.000000, 189.000000
Particle 524, at 406.000000, 608.000000
Particle 525, at 256.000000, 583.000000
Particle 526, at 518.000000, 824.000000
Particle 527, at 759.000000, 369.000000
Particle 528, at 605.000000, 826.000000
Particle 529, at 510.000000, 322.000000
Particle 530, at 545.000000, 804.000000
Particle 531, at 293.000000, 558.000000
Particle 532, at 525.000000, 561.000000
Particle 533, at 37.000000, 645.000000
Particle 534, at 697.000000, 844.000000
Particle 535, at 201.000000, 766.000000
Particle 536, at 790.000000, 328.000000
Particle 537, at 632.000000, 607.000000
Particle 538, at 356.000000, 157.000000
Particle 539, at 207.000000, 241.000000
Particle 540, at 273.000000, 759.000000
Particle 541, at 572.000000, 526.000000
Particle 542, at 19.000000, 468.000000
Particle 543, at 356.000000, 477.000000
Particle 544, at 355.000000, 957.000000
Particle 545, at 750.000000, 239.000000
Particle 546, at 400.000000, 455.000000
Particle 547, at 649.000000, 152.000000
Particle 548, at 782.000000, 653.000000
Particle 549, at 422.000000, 93.000000
Particle 550, at 9.000000, 342.000000
Particle 551, at 537.000000, 78.000000
Particle 552, at 122.000000, 46.000000
Particle 553, at 129.000000, 388.000000
Particle 554, at 263.000000, 540.000000
Particle 555, at 195.000000, 430.000000
Particle 556, at 409.000000, 575.000000
Particle 557, at 314.000000, 576.000000
Particle 558, at 470.000000, 917.000000
Particle 559, at 657.000000, 158.000000
Particle 560, at 788.000000, 292.000000
Particle 561, at 637.000000, 538.000000
Particle 562, at 24.000000, 332.000000
Particle 563, at 713.000000, 525.000000
Particle 564, at 376.000000, 460.000000
Particle 565, at 146.000000, 886.000000
Particle 566, at 639.000000, 374.000000
Particle 567, at 700.000000, 295.000000
Particle 568, at 24.000000, 767.000000
Particle 569, at 621.000000, 824.000000
Particle 570, at 141.000000, 727.000000
Particle 571, at 585.000000, 119.000000
Particle 572, at 334.000000, 14.000000
Particle 573, at 550.000000, 182.000000
Particle 574, at 389.000000, 70.000000
Particle 575, at 688.000000, 32.000000
Particle 576, at 19.000000, 217.000000
Particle 577, at 657.000000, 17.000000
Particle 578, at 586.000000, 255.000000
Particle 579, at 596.000000, 134.000000
Particle 580, at 512.000000, 710.000000
Particle 581, at 215.000000, 226.000000
Particle 582, at 374.000000, 800.000000
Particle 583, at 98.000000, 556.000000
Particle 584, at 513.000000, 949.000000
Particle 585, at 251.000000, 206.000000
Particle 586, at 23.000000, 176.000000
Particle 587, at 758.000000, 609.000000
Particle 588, at 23.000000, 319.000000
Particle 589, at 444.000000, 499.000000
Particle 590, at 671.000000, 534.000000
Particle 591, at 320.000000, 201.000000
Particle 592, at 766.000000, 879.000000
Particle 593, at 193.000000, 53.000000
Particle 594, at 386.000000, 959.000000
Particle 595, at 695.000000, 78.000000
Particle 596, at 586.000000, 483.000000
Particle 597, at 497.000000, 639.000000
Particle 598, at 593.000000, 440.000000
Particle 599, at 653.000000, 40.000000
Particle 600, at 56.000000, 918.000000
Particle 601, at 301.000000, 307.000000
Particle 602, at 30.000000, 667.000000
Particle 603, at 730.000000, 56.000000
Particle 604, at 640.000000, 128.000000
Particle 605, at 717.000000, 429.000000
Particle 606, at 361.000000, 781.000000
Particle 607, at 661.000000, 598.000000
Particle 608, at 427.000000, 89.000000
Particle 609, at 640.000000, 842.000000
Particle 610, at 660.000000, 381.000000
Particle 611, at 657.000000, 518.000000
Particle 612, at 231.000000, 171.000000
Particle 613, at 220.000000, 141.000000
Particle 614, at 426.000000, 611.000000
Particle 615, at 475.000000, 897.000000
Particle 616, at 668.000000, 514.000000
Particle 617, at 671.000000, 390.000000
Particle 618, at 347.000000, 84.000000
Particle 619, at 203.000000, 384.000000
Particle 620, at 123.000000, 313.000000
Particle 621, at 550.000000, 612.000000
Particle 622, at 669.000000, 644.000000
Particle 623, at 749.000000, 920.000000
Particle 624, at 461.000000, 589.000000
Particle 625, at 199.000000, 937.000000
Particle 626, at 256.000000, 870.000000
Particle 627, at 24.000000, 223.000000
Particle 628, at 547.000000, 933.000000
Particle 629, at 450.000000, 962.000000
Particle 630, at 639.000000, 129.000000
Particle 631, at 231.000000, 513.000000
Particle 632, at 350.000000, 297.000000
Particle 633, at 493.000000, 648.000000
Particle 634, at 572.000000, 805.000000
Particle 635, at 742.000000, 536.000000
Particle 636, at 146.000000, 193.000000
Particle 637, at 69.000000, 856.000000
Particle 638, at 241.000000, 424.000000
Particle 639, at 433.000000, 851.000000
Particle 640, at 147.000000, 65.000000
Particle 641, at 415.000000, 403.000000
Particle 642, at 678.000000, 387.000000
Particle 643, at 346.000000, 771.000000
Particle 644, at 187.000000, 877.000000
Particle 645, at 702.000000, 711.000000
Particle 646, at 700.000000, 14.000000
Particle 647, at 672.000000, 290.000000
Particle 648, at 216.000000, 756.000000
Particle 649, at 365.000000, 213.000000
Particle 650, at 695.000000, 114.000000
Particle 651, at 427.000000, 517.000000
Particle 652, at 330.000000, 340.000000
Particle 653, at 63.000000, 807.000000
Particle 654, at 381.000000, 586.000000
Particle 655, at 129.000000, 55.000000
Particle 656, at 389.000000, 697.000000
Particle 657, at 242.000000, 574.000000
Particle 658, at 568.000000, 468.000000
Particle 659, at 44.000000, 224.000000
Particle 660, at 144.000000, 188.000000
Particle 661, at 100.000000, 145.000000
Particle 662, at 504.000000, 394.000000
Particle 663, at 254.000000, 73.000000
Particle 664, at 410.000000, 778.000000
Particle 665, at 768.000000, 305.000000
Particle 666, at 626.000000, 96.000000
Particle 667, at 511.000000, 726.000000
Particle 668, at 322.000000, 540.000000
Particle 669, at 69.000000, 325.000000
Particle 670, at 109.000000, 522.000000
Particle 671, at 524.000000, 233.000000
Particle 672, at 492.000000, 329.000000
Particle 673, at 528.000000, 203.000000
Particle 674, at 422.000000, 907.000000
Particle 675, at 434.000000, 124.000000
Particle 676, at 99.000000, 858.000000
Particle 677, at 110.000000, 407.000000
Particle 678, at 698.000000, 518.000000
Particle 679, at 156.000000, 111.000000
Particle 680, at 463.000000, 545.000000
Particle 681, at 90.000000, 544.000000
Particle 682, at 164.000000, 279.000000
Particle 683, at 42.000000, 481.000000
Particle 684, at 88.000000, 345.000000
Particle 685, at 196.000000, 580.000000
Particle 686, at 330.000000, 699.000000
Particle 687, at 326.000000, 64.000000
Particle 688, at 757.000000, 801.000000
Particle 689, at 478.000000, 949.000000
Particle 690, at 462.000000, 119.000000
Particle 691, at 443.000000, 940.000000
Particle 692, at 220.000000, 408.000000
Particle 693, at 641.000000, 822.000000
Particle 694, at 350.000000, 727.000000
Particle 695, at 8.000000, 488.000000
Particle 696, at 513.000000, 224.000000
Particle 697, at 407.000000, 796.000000
Particle 698, at 796.000000, 371.000000
Particle 699, at 25.000000, 761.000000
Particle 700, at 173.000000, 476.000000
Particle 701, at 692.000000, 925.000000
Particle 702, at 404.000000, 258.000000
Particle 703, at 677.000000, 617.000000
Particle 704, at 711.000000, 442.000000
Particle 705, at 628.000000, 820.000000
Particle 706, at 625.000000, 64.000000
Particle 707, at 247.000000, 499.000000
Particle 708, at 354.000000, 334.000000
Particle 709, at 26.000000, 12.000000
Particle 710, at 512.000000, 600.000000
Particle 711, at 380.000000, 653.000000
Particle 712, at 207.000000, 391.000000
Particle 713, at 110.000000, 887.000000
Particle 714, at 136.000000, 562.000000
Particle 715, at 619.000000, 888.000000
Particle 716, at 560.000000, 529.000000
Particle 717, at 159.000000, 652.000000
Particle 718, at 635.000000, 692.000000
Particle 719, at 144.000000, 410.000000
Particle 720, at 680.000000, 291.000000
